Company_name,company_id
AEP Generating Co.,1
Alabama Power Co.,2
Alaska Electric Light & Power Co.,3
The Allegheny Generating Co.,5
Appalachian Power Co.,6
Arizona Public Service Co.,7
"Entergy Arkansas, LLC",8
Atlantic City Electric Co.,9
Baltimore Gas & Electric Co.,10
Versant Power,11
"Black Hills Power, Inc.",12
"Duke Energy Progress, LLC",17
Catalyst Old River Hydroelectric Ltd.,18
Central Hudson Gas & Electric Corp.,19
Central Illinois Light Co.,20
Central Illinois Public Service Co.,21
Cleco Power LLC,22
Central Maine Power Co.,23
AEP Texas Central Co.,24
Central Vermont Public Service Corp.,25
"Duke Energy Ohio, Inc.",27
Citizens' Electric Co.,28
The Cleveland Electric Illuminating Co.,30
Columbus Southern Power Co.,31
Commonwealth Edison Co.,32
"Consolidated Edison Co. Of New York, Inc.",36
"Connecticut Light & Power Co., The",39
Consolidated Water Power Co.,40
Consumers Energy Co.,41
The Dayton Power & Light Co.,42
Delmarva Power & Light Co.,43
DTE Electric Co.,44
"Duke Energy Carolinas, LLC",45
Duquesne Light Co.,46
Edison Sault Electric Co.,48
El Paso Electric Co.,49
"Electric Energy, Inc.",50
The Empire District Electric Co.,51
Fitchburg Gas & Electric Light Co.,54
"Duke Energy Florida, LLC",55
Florida Power & Light Co.,56
Georgia Power Co.,57
"Golden Spread Electric Coop., Inc.",58
Liberty Utilities (Granite State Electric) Corp.,59
Green Mountain Power Corp.,61
Gulf Power Co.,62
"Entergy Gulf States Louisiana, LLC",63
Hardee Power Partners Ltd.,64
"Hawaiian Electric Co., Inc.",65
Idaho Power Co.,70
Illinois Power Co.,71
Indiana-Kentucky Electric Corp.,72
Indiana Michigan Power Co.,73
AES Indiana,74
Jersey Central Power & Light Co.,77
"Evergy Metro, Inc.",79
"Evergy Kansas South, Inc.",80
Kentucky Power Co.,81
Kentucky Utilities Co.,82
Kingsport Power Co.,83
Lockhart Power Co.,84
National Grid Generation LLC,85
Louisville Gas & Electric Co.,88
Madison Gas & Electric Co.,89
Massachusetts Electric Co.,93
"Maui Electric Co., Ltd.",94
Montana-Dakota Utilities Co.,95
Metropolitan Edison Co.,96
"Minnesota Power, Inc.",98
Mississippi Power Co.,99
"Entergy Mississippi, LLC",100
Monongahela Power Co.,101
Mt. Carmel Public Utility Co,105
The Narragansett Electric Co.,107
Nevada Power Co.,108
New England Power Co.,113
"Entergy New Orleans, LLC",114
New York State Electric & Gas Corp.,115
Niagara Mohawk Power Corp.,117
Northern Indiana Public Service Co. LLC,119
Northern States Power Co. (Minnesota),120
Northern States Power Co. (Wisconsin),121
Northwestern Corp.,122
Northwestern Wisconsin Electric Co.,123
Ocean State Power,124
"Ocean State Power, II",125
Ohio Edison Co.,126
Ohio Power Co.,127
