utility_name,respondent_id,year,customer_id,customer_name,customers,sales,revenues
AEP Generating Co.,1,2020,1,sales_for_resale,439,2019392,246848141
AEP Generating Co.,1,2019,1,sales_for_resale,12,4073472,306947627
AEP Generating Co.,1,2018,1,sales_for_resale,2,5947055,339868815
AEP Generating Co.,1,2017,1,sales_for_resale,2,6069003,340871490
AEP Generating Co.,1,2016,1,sales_for_resale,3,13491086,563840279
AEP Generating Co.,1,2015,1,sales_for_resale,3,12994269,541665672
AEP Generating Co.,1,2014,1,sales_for_resale,34,11675906,571823174
AEP Generating Co.,1,2013,1,sales_for_resale,3,10546276,507770785
AEP Generating Co.,1,2012,1,sales_for_resale,3,16024054,544818807
AEP Generating Co.,1,2011,1,sales_for_resale,3,12215480,512511722
AEP Generating Co.,1,2010,1,sales_for_resale,3,10362410,450573457
AEP Generating Co.,1,2009,1,sales_for_resale,3,9914827,414572117
AEP Generating Co.,1,2008,1,sales_for_resale,3,10622505,468063360
AEP Generating Co.,1,2007,1,sales_for_resale,3,9027362,380328754
AEP Generating Co.,1,2006,1,sales_for_resale,2,10276134,309603782
AEP Generating Co.,1,2005,1,sales_for_resale,3882,8969040,270544818
Alabama Power Co.,2,2020,2,commercial,202036,12445819,1514861689
Alabama Power Co.,2,2020,3,industrial,6159,20383787,1297459364
Alabama Power Co.,2,2020,4,public_street_and_highway_lighting,755,153405,20921897
Alabama Power Co.,2,2020,5,rate_refunds,3224,39281,6444007
Alabama Power Co.,2,2020,6,residential,1295794,17620060,2379707388
Alabama Power Co.,2,2020,1,sales_for_resale,3882,8821850,317729232
Alabama Power Co.,2,2019,2,commercial,200349,13567472,1634753789
Alabama Power Co.,2,2019,3,industrial,6173,22147839,1392732681
Alabama Power Co.,2,2019,4,public_street_and_highway_lighting,757,172859,24699047
Alabama Power Co.,2,2019,5,rate_refunds,3882,,-4955631
Alabama Power Co.,2,2019,6,residential,1280955,18264230,2448683545
Alabama Power Co.,2,2019,1,sales_for_resale,3882,8586435,339208540
Alabama Power Co.,2,2018,2,commercial,200032,13867963,1578302583
Alabama Power Co.,2,2018,3,industrial,6158,23005571,1428119859
Alabama Power Co.,2,2018,4,public_street_and_highway_lighting,759,186521,25493141
Alabama Power Co.,2,2018,5,rate_refunds,3882,,-2603857
Alabama Power Co.,2,2018,6,residential,1273526,18626138,2335175722
Alabama Power Co.,2,2018,1,sales_for_resale,3882,9583354,398043439
Alabama Power Co.,2,2017,2,commercial,199840,13606287,1649255424
Alabama Power Co.,2,2017,3,industrial,6171,22686919,1476668643
Alabama Power Co.,2,2017,4,public_street_and_highway_lighting,760,197836,29406285
Alabama Power Co.,2,2017,5,rate_refunds,3882,213221,-3863559
Alabama Power Co.,2,2017,6,residential,1268271,17218624,2302495439
