parent_name,utility_name,respondent_id,year,rate_base_actual,equity_actual,debt_actual,equity_ratio_actual,returns_actual,earnings_actual,interest_actual,fed_tax_expense_actual,pre_tax_net_income_actual,ROR_actual,ROE_actual,interest_rate_actual,equity_ratio,ROR,ROE,interest_rate,effective_fed_tax_rate,equity_authorized,debt_authorized,returns_authorized,earnings_authorized,interest_authorized,interest_rate_authorized
"American Electric Power Co., Inc.",AEP Generating Co.,1,2020,552542648,216814769,195000000,0.526486142,15680434,13817110,2918608,5395152,6715090,0.028378685,0.047496813,0.014967221,0.526486142,0.014967221,0,0.048939384,0.803437035,290906047.1,261636600.9,8270027.655,0,8270027.655,0.031608833
"American Electric Power Co., Inc.",AEP Generating Co.,1,2019,643525970,242193753,195000000,0.553973499,19833148,14440604,5167077,8031224,21026462,0.030819499,0.04050702,0.026497831,0.553973499,0.026497831,0,0.050011655,0.381957935,356496333.2,287029636.8,17052042.25,0,17052042.25,0.059408647
"American Electric Power Co., Inc.",AEP Generating Co.,1,2018,472724035,221400905,195000000,0.531701306,-8335687,-13597686,4280928,48537206,26823364,-0.017633305,-0.054099045,0.021953477,0.531701306,0.021953477,0,0.052578013,1.80951226,251347986.8,221376048.2,10377936.19,0,10377936.19,0.046879219
"American Electric Power Co., Inc.",AEP Generating Co.,1,2017,478729679,270962495,170000000,0.614479685,14968559,10128779,4456374,-17977168,392115051,0.031267247,0.034431759,0.026213965,0.614479685,0.026213965,0,0.053785429,-0.045846667,294169662.3,184560016.7,12549402.91,0,12549402.91,0.067996325
"American Electric Power Co., Inc.",AEP Generating Co.,1,2016,639517753,307653606,322727330,0.488043956,45380680,33669701,10218358,8002234,60353209,0.070960782,0.107876716,0.031662512,0.488043956,0.031662512,0,0.054882474,0.132590033,312112774.3,327404978.7,20248738.61,0,20248738.61,0.061846154
"American Electric Power Co., Inc.",AEP Generating Co.,1,2015,490789469,266476730,205000060,0.56519586,37828202,26092719,10374373,-1277756,47048844,0.07707623,0.094064365,0.050606683,0.56519586,0.050606683,0,0.055887994,-0.027158074,277392176.2,213397292.8,24837226.95,0,24837226.95,0.116389607
"American Electric Power Co., Inc.",AEP Generating Co.,1,2014,493693696,271563920,212272790,0.561271839,36731877,24355423,10840391,16020811,56565065,0.074402159,0.087895136,0.051068208,0.561271839,0.051068208,0,0.058256152,0.283228014,277096368.7,216597327.3,25212052.37,0,25212052.37,0.11640057
"American Electric Power Co., Inc.",AEP Generating Co.,1,2013,474034170,269014786,219545520,0.550627594,34783179,21791519,11317951,8950233,45544031,0.073376945,0.083487198,0.051551728,0.550627594,0.051551728,0,0.060144771,0.196518244,261016294.7,213017875.3,24437280.74,0,24437280.74,0.11471939
"American Electric Power Co., Inc.",AEP Generating Co.,1,2012,492795614,251650506,226818250,0.525949715,32661190,19270887,11830797,3814824,30377321,0.066277355,0.074351656,0.052159811,0.525949715,0.052159811,0,0.061017739,0.125581318,259185712.9,233609901.1,25704125.98,0,25704125.98,0.110030122
"American Electric Power Co., Inc.",AEP Generating Co.,1,2011,482110745,253538699,234090980,0.519941074,39263966,24948575,14000178,4085522,42799503,0.081441798,0.099527892,0.059806568,0.519941074,0.059806568,0,0.061885134,0.09545723,250669178.5,231441566.5,28833388.82,0,28833388.82,0.124581722
"American Electric Power Co., Inc.",AEP Generating Co.,1,2010,658592336,296404596,326346987,0.475959603,31681105,14968340,15682826,11870996,31952781,0.048104272,0.047751484,0.048055679,0.475959603,0.048055679,0,0.062882313,0.371516833,313463346.6,345128989.4,31649101.79,0,31649101.79,0.091702241
"American Electric Power Co., Inc.",AEP Generating Co.,1,2009,646932610,297764616,333586272,0.471630945,36582046,20482351,16674006,-17653907,38373455,0.056546919,0.067130281,0.049984089,0.471630945,0.049984089,0,0.06275424,-0.460055187,305113438.3,341819171.7,32336337.33,0,32336337.33,0.094600713
"American Electric Power Co., Inc.",AEP Generating Co.,1,2008,642069083,288473143,340763851,0.458449115,37988323,21785520,15690036,11039583,43163493,0.059165476,0.074010789,0.046043722,0.458449115,0.046043722,0,0.063134494,0.255762039,294356002.8,347713080.2,29563250.32,0,29563250.32,0.085021968
"American Electric Power Co., Inc.",AEP Generating Co.,1,2007,500797533,226156309,263027818,0.462313261,24924309,13780872,8916819,5769701,25508003,0.049769233,0.059522089,0.033900669,0.462313261,0.033900669,0,0.065132182,0.226191796,231525340.6,269272192.4,16977371.41,0,16977371.41,0.063049108
"American Electric Power Co., Inc.",AEP Generating Co.,1,2006,111784275,55375894,44837155,0.55258167,10218770,7271042,1843500,8262646,13442625,0.091415094,0.117711655,0.041115454,0.55258167,0.041115454,0,0.066009434,0.614660158,61769941.39,50014333.61,4596061.257,0,4596061.257,0.091894881
"American Electric Power Co., Inc.",AEP Generating Co.,1,2005,101572298,50471905,44828392,0.529609105,7374246,4937394,1822500,3977170,12652245,0.072600957,0.091784018,0.040655038,0.529609105,0.040655038,0,0.067630781,0.314345004,53793613.84,47778684.16,4129425.68,0,4129425.68,0.0864282
Southern Co.,Alabama Power Co.,2,2020,19028221726,10101151663,8916276121,0.531152361,1445027683,1106817257,326509162,204140780,1909939534,0.075941289,0.109511216,0.036619454,0.5002,0.073849271,0.097625938,0.048939384,0.106883373,9517916508,9510305219,1405220301,929195523.6,476024777.5,0.050053575
Southern Co.,Alabama Power Co.,2,2019,18066746402,9245667451,8567816994,0.51902633,1358887604,1023289125,325229261,58979642,1754811678,0.075214849,0.109126197,0.037959408,0.5003,0.0747,0.098042596,0.050011655,0.03361024,9038793225,9027953177,1349585956,886186749.1,463399207.1,0.051329376
Southern Co.,Alabama Power Co.,2,2018,16067613326,7768130421,8168774301,0.487430311,1218169034,895936749.2,316055714,98115250,1619235456,0.075815182,0.114396687,0.038690714,0.5,0.0755,0.098540907,0.052578013,0.060593566,8033806663,8033806663,1213104806,791658596.5,421446209.6,0.052459093
Southern Co.,Alabama Power Co.,2,2017,14922085650,7120057733,7671504191,0.481359424,1142539500,838210710,291676759,144218684,1812757985,0.076567011,0.116695524,0.038020804,0.499828014,0.076314073,0.0996,0.053785429,0.079557605,7458476443,7463609208,1138765138,742864253.7,395900884,0.05304416
Southern Co.,Alabama Power Co.,2,2016,13853542032,6604005273,7132916944,0.480748538,1125579671,824092796.5,285730997,113756840,1744971770,0.081248512,0.123736355,0.040058086,0.4999,0.077546474,0.1,0.054882474,0.065191221,6925385662,6928156370,1074293343,692538566.2,381754777.1,0.055101929
Southern Co.,Alabama Power Co.,2,2015,13092744477,6272880186,6889764926,0.47656684,1036742170,762716220.6,270955869,114988106,1679151249,0.079184481,0.122238629,0.039327302,0.499828014,0.078557294,0.1,0.055887994,0.068479898,6544120476,6548624001,1028530576,654412047.6,374118528.1,0.057129334
Southern Co.,Alabama Power Co.,2,2014,13144934735,6437136691,6619840094,0.49300361,1009709817,755187355.3,248102523,203267610,1658667702,0.076813604,0.116532262,0.037478628,0.497527379,0.07925,0.1014,0.058256152,0.122548724,6539964925,6604969810,1041736078,663152443.4,378583634.4,0.057317996
Southern Co.,Alabama Power Co.,2,2013,12419888223,6187386028,6222393673,0.498589514,982608383,724233268,246550217,248624143,1569536439,0.079115719,0.11695469,0.03962305,0.492953163,0.0814,0.1025,0.060144771,0.158406098,6122423184,6297465039,1010978901,627548376.4,383430525,0.060886487
Southern Co.,Alabama Power Co.,2,2012,12250990112,6082679817,6172524301,0.496334435,1018034353,731973993.7,273861708,266262076,1554332201,0.083098129,0.120378812,0.044367862,0.49,0.0822,0.10325,0.061017739,0.171303197,6002985155,6248004957,1007031387,619808217.2,387223170,0.06197549
Southern Co.,Alabama Power Co.,2,2011,12131521715,6027301491,6125633173,0.495954406,1029852946,731508957.9,286786054,25926412,1559292600,0.084890665,0.121580134,0.046817373,0.4915,0.08326724,0.104332841,0.061885134,0.016627035,5962642923,6168878792,1010158330,622099476.6,388058853.1,0.062905897
Southern Co.,Alabama Power Co.,2,2010,12264612424,6078541836,6182208443,0.49577242,1019301577,716745726.2,294054726,57116030,1536669655,0.083109155,0.117876958,0.047564673,0.4884,0.0834,0.105,0.062882313,0.037168711,5990036708,6274575716,1022868676,628953854.3,393914821.8,0.062779515
Southern Co.,Alabama Power Co.,2,2009,12079916818,5921511297,6182488851,0.489219368,936007226,638222446,297048356,374566889,1409167774,0.077484575,0.107995209,0.048046727,0.4799,0.08321724,0.105,0.06275424,0.265807164,5797152081,6282764737,1005257336,608700968.5,396556368,0.063118131
Southern Co.,Alabama Power Co.,2,2008,11337056674,5539392154,5854790871,0.486159661,893779535,615606665.2,273963279,198685233,1324577513,0.078837,0.111692516,0.046793009,0.4766,0.084009878,0.105000401,0.063134494,0.149998948,5403241211,5933815463,952424752.4,567342492.3,385082260.1,0.064896231
Southern Co.,Alabama Power Co.,2,2007,10379351045,5219125751,5160117320,0.502842617,862948120,590069316.4,263416763,287461064,1248140988,0.083140855,0.113057858,0.0510486,0.475206849,0.085236615,0.107,0.065132182,0.230311372,4932338707,5447012339,884700751.9,527760241.6,356940510.3,0.065529595
Southern Co.,Alabama Power Co.,2,2006,9423205193,4644630654,4816454495,0.490919443,779839773,528433953.9,245170642,301885495,1125430106,0.08275738,0.114230436,0.050902722,0.4722,0.085509682,0.107,0.066009434,0.26824011,4449637492,4973567701,805775280.4,476111211.6,329664068.7,0.066283217
Southern Co.,Alabama Power Co.,2,2005,8662418900,4257678343,4415545815,0.490899147,728387391,515607542.1,200677103,150250496,1058888512,0.084085912,0.12125169,0.045447859,0.47,0.0876,0.108207244,0.067630781,0.141894538,4071336883,4591082017,758827895.7,440548141.6,318279754.1,0.069325652
Avista Corp.,Alaska Electric Light & Power Co.,3,2020,236677514,113214549,75000000,0.601518584,11471400,7953369,3405000,3009172,12149501,0.048468483,0.055865679,0.0454,0.5818,0.0891,0.1195,0.046807508,0.24767865,137698977.6,98978536.35,21087966.5,16455027.83,4632938.669,0.046807508
Avista Corp.,Alaska Electric Light & Power Co.,3,2019,236699308,110719569,75000000,0.596165335,10869771,7316368,3405000,2128166,11385236,0.045922276,0.051847979,0.0454,0.5818,0.0891,0.1195,0.046807508,0.18692331,137711657.4,98987650.61,21089908.34,16456543.06,4633365.284,0.046807508
Avista Corp.,Alaska Electric Light & Power Co.,3,2018,243320911,113860997,75000000,0.602882537,11641869,8112883,3405000,2019134,12452272,0.04784574,0.055304832,0.0454,0.5818,0.0891,0.1195,0.046807508,0.162149847,141564106,101756805,21679893.17,16916910.67,4762982.501,0.046807508
Avista Corp.,Alaska Electric Light & Power Co.,3,2017,248107466,116169518,75000000,0.60767804,12489412,8964317,3405000,3451939,15613653,0.050338719,0.059457115,0.0454,0.538,0.0938,0.1288,0.053042424,0.221084649,133481816.7,114625649.3,23272480.31,17192457.99,6080022.319,0.053042424
Avista Corp.,Alaska Electric Light & Power Co.,3,2016,244268256,109715716,74221480,0.596484661,10557988,7272439,3405000,2327966,14156772,0.043222923,0.049913012,0.045876207,0.538,0.0938,0.1288,0.053042424,0.164441866,131416321.7,112851934.3,22912362.41,16926422.24,5985940.174,0.053042424
Avista Corp.,Alaska Electric Light & Power Co.,3,2015,240951693,104347335,75000000,0.581817037,9963425,6471358,3414458,2328587,11752178,0.041350301,0.046161404,0.045526107,0.538,0.0938,0.1288,0.053042424,0.198140889,129632010.8,111319682.2,22601268.8,16696603,5904665.808,0.053042424
Avista Corp.,Alaska Electric Light & Power Co.,3,2014,242046990,100211419,75000000,0.571945707,11272001,8936548,2148902,3159413,15652516,0.046569474,0.064552832,0.028652027,0.538,0.0938,0.1288,0.053042424,0.201846975,130221280.6,111825709.4,22704007.66,16772500.94,5931506.718,0.053042424
Avista Corp.,Alaska Electric Light & Power Co.,3,2013,202231399,92403652,111140042,0.453974526,9774784,7783544,1760315,3384664,13688375,0.048334651,0.084780762,0.015838711,0.538,0.0938,0.1288,0.053042424,0.247265581,108800492.7,93430906.34,18969305.23,14013503.45,4955801.771,0.053042424
Avista Corp.,Alaska Electric Light & Power Co.,3,2012,199399531,86351732,114682911,0.429536575,9918595,7225054,2389623,2946421,15951326,0.049742319,0.084356163,0.020836784,0.538,0.0938,0.1288,0.053042424,0.184713233,107276947.7,92122583.32,18703676.01,13817270.86,4886405.147,0.053042424
Avista Corp.,Alaska Electric Light & Power Co.,3,2011,205259456,78602263,128014351,0.380425666,8612739,5569224,2735760,1756295,10055087,0.041960254,0.071321703,0.021370729,0.538,0.0938,0.1288,0.053042424,0.17466731,110429587.3,94829868.67,19253336.97,14223330.85,5030006.125,0.053042424
Avista Corp.,Alaska Electric Light & Power Co.,3,2010,210882854,73161979,139131129,0.344627198,7241185,4180590,2795292,959943,7784813,0.034337476,0.057523693,0.020091061,0.538,0.0938,0.1288,0.053042424,0.123309706,113454975.5,97427878.55,19780811.71,14613000.84,5167810.867,0.053042424
Avista Corp.,Alaska Electric Light & Power Co.,3,2009,209342048,69361329,141955204,0.328234275,3612331,1647823,2401941,1894129,7714657,0.01725564,0.023981159,0.016920415,0.538,0.0938,0.1288,0.053042424,0.245523424,112626021.8,96716026.18,19636284.1,14506231.61,5130052.491,0.053042424
Avista Corp.,Alaska Electric Light & Power Co.,3,2008,195736126,65674026,132364341,0.331622741,3643040,1796133,2391386,187194,7021413,0.018611996,0.027670895,0.018066694,0.538,0.0938,0.1288,0.053042424,0.026660446,105306035.8,90430090.21,18360048.62,13563417.41,4796631.209,0.053042424
Avista Corp.,Alaska Electric Light & Power Co.,3,2007,189832929,61892286,130488398,0.321717777,6102251,3755902,2357757,3265334,10263128,0.032145377,0.061498942,0.01806871,0.538,0.0938,0.1288,0.053042424,0.318161675,102130115.8,87702813.2,17806328.74,13154358.92,4651969.825,0.053042424
Avista Corp.,Alaska Electric Light & Power Co.,3,2006,184947194,57155918,130980497,0.303800399,5635486,3755107,1694139,2529165,8797833,0.030470784,0.066832273,0.012934284,0.538,0.0938,0.1288,0.053042424,0.287475905,99501590.37,85445603.63,17348046.8,12815804.84,4532241.957,0.053042424
Avista Corp.,Alaska Electric Light & Power Co.,3,2005,138388935,46341856,93125000,0.332278631,4624369,3852033,708022,2347602,7017563,0.033415742,0.083769557,0.007602921,0.538,0.0938,0.1288,0.053042424,0.334532373,74453247.03,63935687.97,12980882.1,9589578.217,3391303.886,0.053042424
FirstEnergy Corp.,The Allegheny Generating Co.,5,2020,85774176,45977361,50000000,0.479043813,10749025,8474390,2235000,1981001,10176137,0.12531773,0.206241784,0.0447,0.479043813,0.0447,0,0.048939384,0.19467122,41089588.35,44684587.65,3834105.667,0,3834105.667,0.085803761
FirstEnergy Corp.,The Allegheny Generating Co.,5,2019,111471321,63173457,50000000,0.558200294,-12933146,-14758638,1278917,23961096,11561732,-0.116022183,-0.237188196,0.02557834,0.558200294,0.02557834,0,0.050011655,2.072448661,62223324.18,49247996.82,2851251.349,0,2851251.349,0.057895783
FirstEnergy Corp.,The Allegheny Generating Co.,5,2018,72228890,74334890,,,17544391,8492326,1714778,5279008,125947561,0.242899912,,,,,0,0.052578013,0.041914333,,,,,,
FirstEnergy Corp.,The Allegheny Generating Co.,5,2017,248660414,151782185,100000000,0.602831312,23756688,18175891,5060000,10882140,29419442,0.095538681,0.121253213,0.0506,0.602831312,0.0506,0,0.053785429,0.369896207,149900283.7,98760130.31,12582216.95,0,12582216.95,0.127401786
FirstEnergy Corp.,The Allegheny Generating Co.,5,2016,257691948,162811579,100000000,0.619499261,23517108,17509571,5060000,9541029,28675473,0.091260546,0.109681622,0.0506,0.619499261,0.0506,0,0.054882474,0.332724381,159639971.4,98051976.62,13039212.57,0,13039212.57,0.132982659
FirstEnergy Corp.,The Allegheny Generating Co.,5,2015,241316790,144992147,100000000,0.591823651,25488699,19889024,5060000,12843636,32454653,0.105623397,0.139262317,0.0506,0.591823651,0.0506,0,0.055887994,0.395740974,142816983.8,98499806.2,12210629.57,0,12210629.57,0.123966026
FirstEnergy Corp.,The Allegheny Generating Co.,5,2014,277258208,184840822,100000000,0.648926726,25822645,20111659,5060000,10242470,32761000,0.093135728,0.111780957,0.0506,0.648926726,0.0506,0,0.058256152,0.312642166,179920261.1,97337946.88,14029265.32,0,14029265.32,0.144129456
FirstEnergy Corp.,The Allegheny Generating Co.,5,2013,256159652,164407654,100000000,0.621796122,25679269,19646981,5707709,14902436,34082442,0.100247126,0.123349414,0.05707709,0.621796122,0.05707709,0,0.060144771,0.437246721,159279078.3,96880573.66,14620847.51,0,14620847.51,0.150916195
FirstEnergy Corp.,The Allegheny Generating Co.,5,2012,309454901,144409782,150000000,0.490506059,25032472,18193552,6561835,14716929,29560038,0.080892149,0.119860409,0.043745567,0.490506059,0.043745567,0,0.061017739,0.4978657,151789504,157665397,13537280,0,13537280,0.085860818
FirstEnergy Corp.,The Allegheny Generating Co.,5,2011,291402117,141385420,150000000,0.485217895,26049980,17765194,8045476,9719816,29356613,0.089395301,0.125643621,0.053636507,0.485217895,0.053636507,0,0.061885134,0.331094599,141393521.7,150008595.3,15629791.59,0,15629791.59,0.10419264
FirstEnergy Corp.,The Allegheny Generating Co.,5,2010,297564731,140314811,149587991,0.484006398,28677545,21224195,7149971,13506905,34135426,0.09637414,0.147366466,0.047797761,0.484006398,0.047797761,0,0.062882313,0.395685848,144023233.7,153541497.3,14222927.81,0,14222927.81,0.092632468
FirstEnergy Corp.,The Allegheny Generating Co.,5,2009,281922697,182953284,99555471,0.647602174,29029810,21991550,6875000,14957797,35331015,0.102970815,0.120452967,0.069056978,0.647602174,0.069056978,0,0.06275424,0.423361655,182573751.6,99348945.44,19468729.57,0,19468729.57,0.195963123
FirstEnergy Corp.,The Allegheny Generating Co.,5,2008,299054079,197840566,99522951,0.66531553,30234281,23072885,6875000,12778614,37022472,0.101099711,0.115964353,0.069079543,0.66531553,0.069079543,0,0.063134494,0.345158314,198965323.2,100088755.8,20658519.19,0,20658519.19,0.206401998
FirstEnergy Corp.,The Allegheny Generating Co.,5,2007,309630512,206770079,99490432,0.675144433,31102582,23960283,6855903,16560397,37924030,0.100450636,0.11461765,0.068910174,0.675144433,0.068910174,0,0.065132182,0.436672922,209045316.4,100585195.6,21336692.52,0,21336692.52,0.212125576
FirstEnergy Corp.,The Allegheny Generating Co.,5,2006,306706047,203578862,99457912,0.671795899,31398763,24210831,6875000,17354513,36311706,0.102374124,0.117503285,0.069124717,0.671795899,0.069124717,0,0.066009434,0.477931634,206043864.6,100662182.4,21200968.64,0,21200968.64,0.210615031
FirstEnergy Corp.,The Allegheny Generating Co.,5,2005,311721703,209809650,99425387,0.678479554,38369670,30974765,6875000,12517596,37610071,0.123089505,0.146455004,0.06914733,0.678479554,0.06914733,0,0.067630781,0.332825641,211496802,100224901,21554723.32,0,21554723.32,0.215063553
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2020,9302010739,4345141416,4861888222,0.471937377,576946250,359832309,211822330,27790428,524133248,0.062023821,0.081966982,0.043567914,0.474963058,0.071334419,0.097334569,0.047813957,0.053021685,4418111464,4883899275,663553527.7,430034976.3,233518551.4,0.047813957
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2019,8640292013,4172535335,4388912635,0.487363277,513614521,308990462,201244487,44138282,374474927,0.059444116,0.073377659,0.045852926,0.455162106,0.071875188,0.097318625,0.05061953,0.117867122,3932733513,4707558500,621022613.7,382728216.6,238294397.1,0.05061953
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2018,8072643616,4006253055,4085297126,0.495115641,557599401,362971897,185758245,-23491935,457708774,0.069072714,0.090813534,0.045469947,0.455162106,0.071875188,0.097318625,0.05061953,-0.05132507,3674361473,4398282143,580222778.4,357583805,222638973.4,0.05061953
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2017,7779749731,3804481343,4004155741,0.487214517,519893654,329071470,183897633,16459335,637754117,0.066826527,0.086816922,0.045926693,0.455162106,0.071875188,0.097318625,0.05061953,0.025808277,3541047275,4238702456,559170975.3,344609850.6,214561124.7,0.05061953
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2016,7598052921,3582763277,4057992974,0.468901658,552899292,364438598,183241459,68474852,691786485,0.07276855,0.102291674,0.045155687,0.455162106,0.071875188,0.097318625,0.05061953,0.098982639,3458345772,4139707149,546111482.9,336561454.1,209550028.8,0.05061953
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2015,7362011353,3475050089,3955431577,0.467674943,526799420,334548977,188068200,-22133376,659202527,0.071556453,0.097167073,0.047546822,0.425368524,0.071256679,0.098523265,0.051072704,-0.033575988,3131567903,4230443450,524592479.5,308532295,216060184.5,0.051072704
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2014,7479305964,3366927928,3980274562,0.458259852,436593786,227023018,198433110,34286733,492609453,0.058373569,0.066236409,0.049854126,0.424313652,0.075772,0.104275468,0.054763319,0.069602264,3173571629,4305734335,566721971.5,330925666.5,235796305,0.054763319
