parent_name,utility_name,respondent_id,year,technology,employees_in_thousands
"American Electric Power Co., Inc.",AEP Generating Co.,1,2007,other_fossil,27
"American Electric Power Co., Inc.",AEP Generating Co.,1,2008,other_fossil,28
"American Electric Power Co., Inc.",AEP Generating Co.,1,2009,other_fossil,24
"American Electric Power Co., Inc.",AEP Generating Co.,1,2010,other_fossil,24
"American Electric Power Co., Inc.",AEP Generating Co.,1,2011,other_fossil,25
"American Electric Power Co., Inc.",AEP Generating Co.,1,2012,other_fossil,34
"American Electric Power Co., Inc.",AEP Generating Co.,1,2013,other_fossil,39
"American Electric Power Co., Inc.",AEP Generating Co.,1,2014,other_fossil,39
"American Electric Power Co., Inc.",AEP Generating Co.,1,2015,other_fossil,40
"American Electric Power Co., Inc.",AEP Generating Co.,1,2016,other_fossil,38
"American Electric Power Co., Inc.",AEP Generating Co.,1,2017,other_fossil,38
Southern Co.,Alabama Power Co.,2,2005,hydro,110
Southern Co.,Alabama Power Co.,2,2005,nuclear,818
Southern Co.,Alabama Power Co.,2,2005,other_fossil,60
Southern Co.,Alabama Power Co.,2,2005,steam,1367
Southern Co.,Alabama Power Co.,2,2006,hydro,105
Southern Co.,Alabama Power Co.,2,2006,nuclear,825
Southern Co.,Alabama Power Co.,2,2006,other_fossil,61
Southern Co.,Alabama Power Co.,2,2006,steam,1431
Southern Co.,Alabama Power Co.,2,2007,hydro,105
Southern Co.,Alabama Power Co.,2,2007,nuclear,840
Southern Co.,Alabama Power Co.,2,2007,other_fossil,60
Southern Co.,Alabama Power Co.,2,2007,steam,1480
Southern Co.,Alabama Power Co.,2,2008,hydro,105
Southern Co.,Alabama Power Co.,2,2008,nuclear,840
Southern Co.,Alabama Power Co.,2,2008,other_fossil,59
Southern Co.,Alabama Power Co.,2,2008,steam,1508
Southern Co.,Alabama Power Co.,2,2009,hydro,100
Southern Co.,Alabama Power Co.,2,2009,nuclear,949
Southern Co.,Alabama Power Co.,2,2009,other_fossil,59
Southern Co.,Alabama Power Co.,2,2009,steam,1456
Southern Co.,Alabama Power Co.,2,2010,hydro,100
Southern Co.,Alabama Power Co.,2,2010,nuclear,931
Southern Co.,Alabama Power Co.,2,2010,other_fossil,56
Southern Co.,Alabama Power Co.,2,2010,steam,1445
Southern Co.,Alabama Power Co.,2,2011,hydro,100
Southern Co.,Alabama Power Co.,2,2011,nuclear,953
Southern Co.,Alabama Power Co.,2,2011,other_fossil,68
Southern Co.,Alabama Power Co.,2,2011,steam,1404
Southern Co.,Alabama Power Co.,2,2012,hydro,100
Southern Co.,Alabama Power Co.,2,2012,nuclear,945
Southern Co.,Alabama Power Co.,2,2012,other_fossil,71
Southern Co.,Alabama Power Co.,2,2012,steam,1368
Southern Co.,Alabama Power Co.,2,2013,hydro,100
Southern Co.,Alabama Power Co.,2,2013,nuclear,967
Southern Co.,Alabama Power Co.,2,2013,other_fossil,79
Southern Co.,Alabama Power Co.,2,2013,steam,1410
Southern Co.,Alabama Power Co.,2,2014,hydro,103
Southern Co.,Alabama Power Co.,2,2014,nuclear,941
Southern Co.,Alabama Power Co.,2,2014,other_fossil,75
Southern Co.,Alabama Power Co.,2,2014,steam,1434
Southern Co.,Alabama Power Co.,2,2015,hydro,103
Southern Co.,Alabama Power Co.,2,2015,nuclear,935
Southern Co.,Alabama Power Co.,2,2015,other_fossil,72
Southern Co.,Alabama Power Co.,2,2015,steam,1419
Southern Co.,Alabama Power Co.,2,2016,hydro,103
Southern Co.,Alabama Power Co.,2,2016,nuclear,912
Southern Co.,Alabama Power Co.,2,2016,other_fossil,79
Southern Co.,Alabama Power Co.,2,2016,steam,1359
Southern Co.,Alabama Power Co.,2,2017,hydro,103
Southern Co.,Alabama Power Co.,2,2017,nuclear,958
Southern Co.,Alabama Power Co.,2,2017,other_fossil,86
Southern Co.,Alabama Power Co.,2,2017,steam,1276
Southern Co.,Alabama Power Co.,2,2018,hydro,103
Southern Co.,Alabama Power Co.,2,2018,nuclear,938
Southern Co.,Alabama Power Co.,2,2018,other_fossil,89
Southern Co.,Alabama Power Co.,2,2018,steam,1225
Southern Co.,Alabama Power Co.,2,2019,hydro,103
Southern Co.,Alabama Power Co.,2,2019,nuclear,928
Southern Co.,Alabama Power Co.,2,2019,other_fossil,89
Southern Co.,Alabama Power Co.,2,2019,steam,1180
Southern Co.,Alabama Power Co.,2,2020,hydro,103
Southern Co.,Alabama Power Co.,2,2020,nuclear,886
Southern Co.,Alabama Power Co.,2,2020,other_fossil,93
Southern Co.,Alabama Power Co.,2,2020,steam,1073
Avista Corp.,Alaska Electric Light & Power Co.,3,2009,hydro,1
Avista Corp.,Alaska Electric Light & Power Co.,3,2010,hydro,1
Avista Corp.,Alaska Electric Light & Power Co.,3,2011,hydro,1
Avista Corp.,Alaska Electric Light & Power Co.,3,2012,hydro,1
Avista Corp.,Alaska Electric Light & Power Co.,3,2013,hydro,1
Avista Corp.,Alaska Electric Light & Power Co.,3,2014,hydro,1
Avista Corp.,Alaska Electric Light & Power Co.,3,2015,hydro,1
Avista Corp.,Alaska Electric Light & Power Co.,3,2016,hydro,1
Avista Corp.,Alaska Electric Light & Power Co.,3,2017,hydro,1
Avista Corp.,Alaska Electric Light & Power Co.,3,2018,hydro,1
Avista Corp.,Alaska Electric Light & Power Co.,3,2019,hydro,1
Avista Corp.,Alaska Electric Light & Power Co.,3,2020,hydro,1
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2005,hydro,31
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2005,other_fossil,5
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2005,steam,872
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2006,hydro,31
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2006,other_fossil,5
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2006,steam,902
